name,url,codes,char,category,group,subgroup
"cricket","https://github.githubassets.com/images/icons/emoji/unicode/1f997.png?v8","1F997","🦗","Animals & Nature (animal-bug)","Animals & Nature","animal-bug"
"cricket game","https://github.githubassets.com/images/icons/emoji/unicode/1f3cf.png?v8","1F3CF","🏏","Activities (sport)","Activities","sport"
"flag: Croatia","https://github.githubassets.com/images/icons/emoji/unicode/1f1ed-1f1f7.png?v8","1F1ED 1F1F7","🇭🇷","Flags (country-flag)","Flags","country-flag"
"crocodile","https://github.githubassets.com/images/icons/emoji/unicode/1f40a.png?v8","1F40A","🐊","Animals & Nature (animal-reptile)","Animals & Nature","animal-reptile"
"croissant","https://github.githubassets.com/images/icons/emoji/unicode/1f950.png?v8","1F950","🥐","Food & Drink (food-prepared)","Food & Drink","food-prepared"
"crossed fingers","https://github.githubassets.com/images/icons/emoji/unicode/1f91e.png?v8","1F91E","🤞","People & Body (hand-fingers-partial)","People & Body","hand-fingers-partial"
"crossed flags","https://github.githubassets.com/images/icons/emoji/unicode/1f38c.png?v8","1F38C","🎌","Flags (flag)","Flags","flag"
"crossed swords","https://github.githubassets.com/images/icons/emoji/unicode/2694.png?v8","2694","⚔","Objects (tool)","Objects","tool"
"crown","https://github.githubassets.com/images/icons/emoji/unicode/1f451.png?v8","1F451","👑","Objects (clothing)","Objects","clothing"
"crying face","https://github.githubassets.com/images/icons/emoji/unicode/1f622.png?v8","1F622","😢","Smileys & Emotion (face-concerned)","Smileys & Emotion","face-concerned"
"crying cat","https://github.githubassets.com/images/icons/emoji/unicode/1f63f.png?v8","1F63F","😿","Smileys & Emotion (cat-face)","Smileys & Emotion","cat-face"
"crystal ball","https://github.githubassets.com/images/icons/emoji/unicode/1f52e.png?v8","1F52E","🔮","Activities (game)","Activities","game"
"flag: Cocos (Keeling) Islands","https://github.githubassets.com/images/icons/emoji/unicode/1f1e8-1f1fa.png?v8","1F1E8 1F1E8","🇨🇨","Flags (country-flag)","Flags","country-flag"
"cucumber","https://github.githubassets.com/images/icons/emoji/unicode/1f952.png?v8","1F952","🥒","Food & Drink (food-vegetable)","Food & Drink","food-vegetable"
"cup with straw","https://github.githubassets.com/images/icons/emoji/unicode/1f964.png?v8","1F964","🥤","Food & Drink (drink)","Food & Drink","drink"
"cupcake","https://github.githubassets.com/images/icons/emoji/unicode/1f9c1.png?v8","1F9C1","🧁","Food & Drink (food-sweet)","Food & Drink","food-sweet"
"heart with arrow","https://github.githubassets.com/images/icons/emoji/unicode/1f498.png?v8","1F498","💘","Smileys & Emotion (emotion)","Smileys & Emotion","emotion"
"flag: Cocos (Keeling) Islands","https://github.githubassets.com/images/icons/emoji/unicode/1f1e8-1f1fc.png?v8","1F1E8 1F1E8","🇨🇨","Flags (country-flag)","Flags","country-flag"
"curling stone","https://github.githubassets.com/images/icons/emoji/unicode/1f94c.png?v8","1F94C","🥌","Activities (sport)","Activities","sport"
"man","https://github.githubassets.com/images/icons/emoji/unicode/1f468-1f9b1.png?v8","1F468","👨","People & Body (person)","People & Body","person"
"woman","https://github.githubassets.com/images/icons/emoji/unicode/1f469-1f9b1.png?v8","1F469","👩","People & Body (person)","People & Body","person"
